Data,ABEV3,ASAI3,EMBJ3,MGLU3,VALE3
2022-10-14,11.683926755,18.391081943,11.295269324,40.150579274,51.858454855
2022-10-17,11.75483393,19.017284314,12.038379148,40.150579274,52.482271296
2022-10-18,11.73907678,17.263917675,12.414888125,39.691190495,53.440275116
2022-10-19,11.731198205,17.678174629,12.236541768,38.49677967,52.809032289
2022-10-20,11.84937683,17.350622619,12.236541768,37.578002112,53.484833433
2022-10-21,12.062098356,17.919021694,12.414888125,38.129268646,55.051800922
2022-10-24,11.959676881,18.005726638,12.504061304,37.486124356,53.417995957
2022-10-25,11.746955355,17.042338375,13.029192247,39.415557227,53.417995957
2022-10-26,11.89664828,16.454671534,12.652683269,35.924202508,54.60621775
2022-10-27,12.259062731,17.475863093,12.781488972,38.772412937,52.660504565
2022-10-28,12.424512807,18.12133323,13.009375985,40.242457029,50.090974938
2022-10-31,12.605720032,19.094355375,13.623680106,41.069356831,49.85333058
2022-11-01,12.440269957,19.161792554,13.593955713,41.896256633,51.368313365
2022-11-02,,,,,
2022-11-03,12.621477182,19.62421892,13.46515001,44.744467062,49.868183352
2022-11-04,12.960255908,19.797628807,13.415609355,44.376956039,53.655640316
2022-11-07,12.889348733,19.518246211,13.207538604,41.712501122,53.37343764
2022-11-08,13.188734584,19.229229732,13.227354866,42.539400924,54.992389832
2022-11-09,12.983891633,19.653120568,13.227354866,41.069356831,54.324015074
2022-11-10,12.597841457,18.805338896,13.326436176,36.567346798,55.363709142
2022-11-11,12.676627207,18.641562892,13.802026463,31.789703498,61.11915845
2022-11-14,12.566327157,18.882409958,12.95983533,33.25974759,61.869223456
2022-11-15,,,,,
2022-11-16,12.164519831,18.920945488,14.247892358,30.595292673,61.223127856
2022-11-17,12.133005531,18.786071131,13.76239394,31.146559208,61.713269346
2022-11-18,12.306334182,18.448885239,14.069546,28.941493069,60.027479678
2022-11-21,12.345727057,18.988382666,14.228076096,31.054681452,59.351678533
2022-11-22,12.337848482,18.757169483,14.158719179,30.687170429,59.51505903
2022-11-23,12.385119932,18.641562892,14.049729738,31.054681452,60.10174354
2022-11-24,12.637234332,19.084721493,14.36678993,33.075992079,60.487915622
2022-11-25,12.424512807,18.506688535,14.178535441,31.422192475,60.079464381
2022-11-28,12.534812857,18.612661244,13.891199642,30.503414917,60.376519829
2022-11-29,12.416634232,18.689732305,13.385884962,30.87092594,62.708405097
2022-11-30,12.542691432,19.315934676,13.425517486,31.330314719,63.651556145
2022-12-01,12.668748632,18.959481019,13.732669547,28.48210429,64.000596296
2022-12-02,12.865713008,19.787994925,13.851567118,29.768392871,64.461032241
2022-12-05,12.621477182,19.633852803,13.415609355,28.298348779,64.394194765
2022-12-06,12.645112907,19.229229732,13.504782534,28.665859802,65.329919427
2022-12-07,12.605720032,19.364104089,13.415609355,27.012060198,63.005460545
2022-12-08,12.369362782,18.631929009,13.128273556,26.09328264,63.77780471
2022-12-09,12.219669856,18.574125713,12.989559723,25.725771617,65.901751164
2022-12-12,12.006948331,18.256207586,13.217446735,25.725771617,63.93375882
2022-12-13,12.038462631,17.947923342,13.257079259,25.725771617,64.202617999
2022-12-14,11.920284006,18.371814178,13.76239394,24.163849769,64.746581685
2022-12-15,11.81786253,18.419983591,13.395793093,23.888216501,64.95522529
2022-12-16,11.699683905,18.024994403,13.425517486,21.775028119,63.844943247
2022-12-19,11.999069756,18.834240544,13.455241879,23.980094257,63.61394497
2022-12-20,12.042445783,19.267765263,13.861475249,25.909527128,63.897104149
2022-12-21,11.90145296,19.44117515,13.930832166,23.980094257,64.262230458
2022-12-22,11.959508828,19.383371854,13.901107773,23.888216501,63.897104149
2022-12-23,12.125382737,19.287033028,13.980372821,24.623238548,64.321842917
2022-12-26,12.042445783,19.200328084,13.891199642,24.439483036,64.910515946
2022-12-27,12.042445783,18.593393479,13.831750856,23.153194455,66.460439872
2022-12-28,12.067326869,18.718633953,14.069546,24.715116303,66.311408725
2022-12-29,12.042445783,18.793014473,14.178535441,25.174505082,66.229441595
2022-12-30,,,,,
